Timestamp,Transfer Type,Dealer,STEEM,SBD,TX ID,memo
2018-07-29T12:00:12,transfer from,bidseption,0,0.029,6c5c8f770f27a9594a120d9716bf224471e3d329,% Cha-Ching! You earn 0.029 SBD today!
2018-07-29T16:17:06,transfer to,estabond,0,-1.0,fb1d1ec4f614745b570955911bb7bb7d837d1272,https://steemit.com/cn/@antonsteemit/kura-sushi
2018-07-29T16:17:18,transfer from,resteembot,0,0.001,48ab08d885a13019f3f9c4f5b07b0ca34088c805,A gift
2018-07-29T16:17:30,transfer from,superpromoter,0,0.001,17d2b489a443954421a269a769bfaa5695d9bc6f,✅ Promote your post with @superpromoter. 💎 11 000+ SP 👥 5 000 followers and counting 📈 Send 1 SBD or STEEM with URL in memo to @superpromoter to resteem your post to thousands of followers and get instant upvotes.
2018-07-29T16:20:18,transfer to,booster,0,-2.5,a96595486bd96427be0fd68ce7c3aa5b6f41bd7d,https://steemit.com/cn/@antonsteemit/kura-sushi
2018-07-29T16:21:33,transfer from,bubblebee,0,0.001,48cd9a86302bd734bc7820e2e289c44b97ab7bea,Good News!! Hello. I'm BubbleBee  your Multi-Upvote Friend. Follow & Send 0.25 SBD/STEEM (Post URL as Memo) to @BubbleBee and Get 45+ Instant Upvotes with ReSteem. Automatically Refund for Invalid Transactions. Service Active! For Upvote-Exchange & Cumulative Growth  Join us on Discord : https://discord.me/SteemBulls
2018-07-29T16:31:30,transfer from,anonwhale,0,0.001,c9ac60cceadc16b06d5f95f16d9a77f1764209cd,Greetings! Want to promote your post? Get more upvotes and followers with our resteem and upvote service! Get your post resteemed to 10 000+ followers  a minimum of 40+ upvotes  and a @anonwhale upvote (1200 STEEM POWER)! Send 1.000 SBD or 0.800 STEEM to @anonwhale with your post URL as the memo!
2018-07-30T17:39:57,transfer from,cryptomoneymade,0,0.001,e76674df0c628629a6ef40e999aed4bc2a24ee16,◀ PROMOTE YOUR POST ▶ We offer promotion and resteem service for you ▶ Send 0.3 SBD or 0.3 STEEM with URL in the memo to @cryptomoneymade and your post will be resteemed to 10000+ followers on multiple Steemit accounts ▶ ◀ Service Active 24/7 ✔
2018-08-01T11:13:24,transfer from,steemhq,0.025,0,12dd725bf8fc49acf35df23ae9c801e7fb43325d,Your monthly payout for participating in the Community Witness project on https://www.steemhq.com - Thanks for your Vote!
2018-08-02T05:18:21,transfer from,crypto.piotr,0,0.003,2ff66adc64dca6bbca1415e7daa8c92b8e4d413e,hi @antonsteemit   I've been following you for some time (since we share similar passions towards blockchain technology and crypto). I just created post about resteeming posts (including full list of those bots). You may find valuable: https://steemit.com/steemit/@crypto.piotr/resteeming-bots-are-those-bots-better-or-worse-than-upvoting-bots-attached-full-list-of-resteeming-bots-on-steemit I hope you don't mind this mass-memo. Im not advertising anything. Just sharing my knowledge. Cheers  Piotr
